Identifier,APA Citation,Title,Orientation,Primary Pattern(s) / Pathway(s),Domain Categories,Pipeline Stage,Pipeline Sub-stage,Historical Era,Triange coverage (AI + data production + community impacts),Rationale,Source type,How source was found,Keywords,Geographic region of focus,"Author affiliations (majority grouping if multiple, full details in note on positionality)",Geographic area of author (lead author if multiple),"Institution / Country
(lead author)",Authorship & positionality context,Summary,Additional Notes
"Ajmani et al., 2024","Ajmani, L., Stapleton, L., Houtti, M., & Chancellor, S. (2024). Data Agency Theory: A Precise Theory of Justice for AI Applications. The 2024 ACM Conference on Fairness, Accountability, and Transparency, 631–641. https://doi.org/10.1145/3630106.3658930",Data Agency Theory: A Precise Theory of Justice for AI Applications,Principles less-extractive,Participatory data ownership & governance,Ethics frameworks,Problem Understanding & Formulation,Product Conception & Design,Era 3,ADC,A: theorizes consent justice for AI applications; D: evaluates consent procedures and policy design; C: emphasizes group-level harms and data agency for affected communities,"White (published journal papers, conference proceedings, books)",Hand-searching key journals,"Data agency, AI justice, consent policies, data labor, societal groups",Not regionally specific,Academic,North America,"University of Minnesota, USA",,"Introduces Data Agency Theory (DAT) as a framework to assess the fairness of consent procedures in AI applications, arguing that data agency is crucial for justice in AI. The study applies DAT to real-world examples and suggests improvements for consent policies in AI development.",
"Akera et al., 2022","Akera, B., Mukiibi, J., Naggayi, L. S., Babirye, C., Owomugisha, I., Nsumba, S., Nakatumba-Nabende, J., Bainomugisha, E., Mwebaze, E., & Quinn, J. (2022). Machine Translation for African Languages: Community Creation of Datasets and Models in Uganda. AfricaNLP Workshop at ICLR2022. https://openreview.net/pdf?id=BK-z5qzEU-9 
",Machine Translation for African Languages: Community Creation of Datasets and Models in Uganda,Practices less-extractive,Community engaged data production,Community impacts and relations,ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: trains/evaluates MT models for 5 Ugandan langs; D: locally created parallel corpora & release; C: argues practical translation utility for local language communities,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)","Existing networks, relevant organizations and conferences","Africa, machine translation, model quality, low resource languages, text corpora",Africa,Mixed,Africa,"Sunbird AI; Makerere University AI Lab, Uganda",,"Details community-created parallel corpora and transformer models for five Ugandan languages. Describes corpus construction, training, and evaluation, with public releases to support broader use. Demonstrates feasibility of building practical MT resources outside high-resource settings and links local data governance to improved inclusion and access for Ugandan language communities.",
"Anuyah et al., 2024","Anuyah, O., Wan, R., Adejoro, C., Yeh, T., Metoyer, R., & Badillo-Urquiola, K. (2024). Cultural Considerations in AI Systems for the Global South: A Systematic Review. Proceedings of the 4th African Human Computer Interaction Conference, 125–134. https://doi.org/10.1145/3628096.3629046",Cultural Considerations in AI Systems for the Global South: A Systematic Review,Principles less-extractive,Creating culturally inclusive datasets,"Data practices, Community impacts and relations",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,"A: addresses AI design for Global South systems; D: emphasizes integration of cultural values and culturally inclusive datasets; C: highlights visibility, representation, and usefulness of AI for African communities","White (published journal papers, conference proceedings, books)",Database search,"Africa, AI design, cultural values, healthcare, inclusion",Africa,Academic,North America,"University of Notre Dame, USA","University of Colorado, USA","Systematic review of twelve studies on AI for Global South contexts. Focuses on healthcare and assistants, highlighting challenges in usability, transparency, and data availability. Recommends integrating cultural values and locally relevant datasets to increase acceptance and utility. Links culturally inclusive data practices to improved representation and community trust for African users of AI systems.",
"Apple, 2021","Apple. (2021, April). A Day in the Life of Your Data. Retrieved August 14, 2024, from https://www.apple.com/au/privacy/docs/A_Day_in_the_Life_of_Your_Data.pdf",A Day in the Life of Your Data,Extractive,Keeping communities in the dark through opaque data practices,Data practices,Cross-pipeline,Cross-pipeline,Multi-era,DC,A: none; D: illustrates pervasive data tracking and monetization practices; C: affects individuals and families through privacy erosion,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)","Existing networks, relevant organizations and conferences","data tracking, privacy, monetization",Not regionally specific,Industry,North America,"Silicon Valley, USA",,"Discusses how technology companies collect and monetize personal data, illustrating this through a narrative of a father and daughter's day at the park. It highlights Apple's privacy initiatives like Intelligent Tracking Prevention and App Tracking Transparency as solutions to the pervasiveness of data tracking.",
"Arnstein, 1969","Arnstein, S. R. (1969). A Ladder Of Citizen Participation. Journal of the American Institute of Planners. https://doi.org/10.1080/01944366908977225",A Ladder Of Citizen Participation,Principles less-extractive,Early co-design and participatory initiatives,Critical theory/Historical background,Cross-pipeline,Cross-pipeline,Multi-era,C,A: none; D: none; C: centers redistribution of power to communities through typology of citizen participation.,"White (published journal papers, conference proceedings, books)","Existing networks, relevant organizations and conferences",participation; governance; citizen power,Not regionally specific,Mixed,North America,"US government / urban planning circles, USA",,"Argues that citizen participation requires a redistribution of power from traditional power holders to disenfranchised citizens, illustrating this through a typology of eight levels of participation. The ultimate goal is to empower citizens to advocate for their needs and hold institutions accountable.",
"Arora et al., 2023","Arora, A., Barrett, M., Lee, E., Oborn, E., & Prince, K. (2023). Risk and the future of AI: Algorithmic bias, data colonialism, and marginalization. Information and Organization, 33(3), 100478. https://doi.org/10.1016/j.infoandorg.2023.100478","Risk and the future of AI: Algorithmic bias, data colonialism, and marginalization",Extractive,Exploitative and invisible data labor,Critical theory/Historical background,Problem Understanding & Formulation,Institutional Prioritization & Funding,Era 3,ADC,A: discusses algorithmic bias & AI in orgs/health; D: Kenya labeling case foregrounds data labor; C: marginalization & social risk,"White (published journal papers, conference proceedings, books)",Database search,"Data colonialism, Kenya, data labeling, marginalized communities",Africa,Academic,EU/UK,"School of Clinical Medicine, Cambridge University, United Kingdom","Judge Business School, Cambridge University, United Kingdom; CDI, Cambridge University, United Kingdom; Warwick Business School, University of Warwick, United Kingdom","Examines how AI can exacerbate existing inequalities, particularly through algorithmic bias in healthcare, and explores the issue of data colonialism using the example of data labeling in Kenya. The authors propose a relational risk perspective to address both the harms and benefits of AI.",
"Asiedu et al., 2024","Asiedu, M., Dieng, A., Haykel, I., Rostamzadeh, N., Pfohl, S., Nagpal, C., Nagawa, M., Oppong, A., Koyejo, S., & Heller, K. (2024). The Case for Globalizing Fairness: A Mixed Methods Study on Colonialism, AI, and Health in Africa (No. arXiv:2403.03357). arXiv. https://doi.org/10.48550/arXiv.2403.03357","The Case for Globalizing Fairness: A Mixed Methods Study on Colonialism, AI, and Health in Africa",Practices less-extractive,Early co-design and participatory initiatives,Community impacts and relations,ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: fairness for AI in health settings; D: discusses data collection/annotation & contextualization; C: health equity for African populations,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)","Existing networks, relevant organizations and conferences",Africa; health AI; fairness framework; colonialism,Africa,Mixed,Multiple areas,"Google Research, USA",Google DeepMind; Duke University; Ghana NLP,"Mixed-methods study arguing fairness frameworks must be adapted to African health contexts shaped by colonial legacies. Identifies gaps in datasets, labeling, and deployment conditions. Recommends practices that center local institutions and communities in defining objectives, curating data, and assessing harms to advance equitable AI in public health across the continent.",
"Atari et al., 2023","Atari, M., Xue, M. J., Park, P. S., Blasi, D. E., & Henrich, J. (2023, September 22). Which Humans?. https://doi.org/10.31234/osf.io/5b26t",Which Humans?,Extractive,"""Deploying AI systems that lack local, contextual data""","Community impacts and relations, Data practices",ML System Design & Development,"Data Selection, Collection & Annotation",Era 3,ADC,A: shows LLM “human-likeness” maps to WEIRD populations; D: traces WEIRD-skew to English/Internet-heavy training data and debiasing norms; C: flags global harms when deployed across diverse societies,"Grey (Reports, blogs, white papers, policy documents, theses, conference papers)",Database search,global; LLM; WEIRD bias; cultural psychology,Multiple areas,Academic,North America,"Department of Human Evolutionary Biology, Harvard University, USA",,"Analyzing LLM outputs against cross-cultural surveys and cognitive tasks, the paper shows models cluster with WEIRD populations and diverge as cultural distance from the U.S. increases (e.g., r = −0.70), indicating an outlier “WEIRD psychology.” It links this skew to English-dominant, Internet-scraped training data and WEIRD-centered safety norms, warning that global deployment risks misalignment with non-WEIRD cultures. The authors call for diversifying training data and feedback sources to mitigate “WEIRD in, WEIRD out.”",
"Ayana et al., 2024","Ayana, G., Dese, K., Daba Nemomssa, H., Habtamu, B., Mellado, B., Badu, K., Yamba, E., Faye, S. L., Ondua, M., Nsagha, D., Nkweteyim, D., & Kong, J. D. (2024). Decolonizing global AI governance: Assessment of the state of decolonized AI governance in Sub-Saharan Africa. Royal Society Open Science, 11(8), 231994. https://doi.org/10.1098/rsos.231994 
 ",Decolonizing global AI governance: assessment of the state of decolonized AI governance in Sub-Saharan Africa,Extractive,Excluding underrepresented groups from decision-making,"Community impacts and relations, Critical theory/Historical background",Problem Understanding & Formulation,Institutional Prioritization & Funding,Era 3,ADC,A: national AI governance & policy for AI systems; D: explicit indicators include data protection & local data use requirements; C: SSA equity/sovereignty & impacts of governance choices on populations,"White (published journal papers, conference proceedings, books)",Citation/reference snowballing,"AI governance, decolonization, Africa, bias in AI, data protection regulations",Africa,Academic,Africa,"Jimma University, Jimma, Ethiopia",,"Mixed-methods assessment of AI governance across SSA. Finds limited progress on decolonized governance: few countries have comprehensive AI policies, institutions to steward local data, or strategies to mitigate bias. Emphasizes data protection, local data use, and accountability as indicators. Argues that governance choices shape sovereignty and equity, steering data practices toward or away from extractive defaults.",
"Baack, 2024","Baack, S. (2024). A Critical Analysis of the Largest Source for Generative AI Training Data: Common Crawl. The 2024 ACM Conference on Fairness, Accountability, and Transparency, 2199–2208. https://doi.org/10.1145/3630106.3659033",A Critical Analysis of the Largest Source for Generative AI Training Data: Common Crawl,Extractive,Collecting vast amounts of data to train AI systems,Data practices,Deployment & Impact,Product Testing,Era 3,ADC,A: examines LLM training data source; D: analyzes Common Crawl curation/coverage/bias; C: discusses downstream harms and proposes governance,"White (published journal papers, conference proceedings, books)",Hand-searching key journals,"Common Crawl, web crawl, training data, generative AI",Not regionally specific,Industry,EU/UK,"Mozilla Foundation, Germany",,"Examines the impact of Common Crawl, a massive web data archive, on the development of large language models (LLMs) and highlights concerns about bias and harmful content in AI systems. The paper proposes recommendations to improve ethical and responsible AI development.",
"Baker and Karasti, 2018","Baker, K. S., & Karasti, H. (2018). Data care and its politics: Designing for local collective data management as a neglected thing. Proceedings of the 15th Participatory Design Conference: Full Papers - Volume 1, 1–12. https://doi.org/10.1145/3210586.3210587",Data care and its politics: Designing for local collective data management as a neglected thing.,Principles less-extractive,Participatory data ownership & governance,Data practices,Problem Understanding & Formulation,Institutional Prioritization & Funding,Era 2,ADC,A: connects data care to infrastructures leveraged by AI; D: foregrounds local collective management and partnering designers; C: supports community capacity and stewardship,"White (published journal papers, conference proceedings, books)",Database search,EU/UK; data care; local stewardship; ecological research,EU/UK,Academic,EU/UK,"University of Illinois at Urbana–Champaign, USA","University of Oulu, Finland","Explores the concept of “data care” in the context of local, collective data management, using case studies from ecological research communities. The authors argue that with the push for large-scale data sharing, the crucial aspects of data work at the local level are often overlooked. They emphasize the importance of understanding and supporting the practices and challenges faced by researchers in managing and sharing data within their communities. The source introduces the role of a “partnering designer” who collaborates with local data practitioners (“data allies”) to address these challenges. Through case studies, it illustrates how partnering designers can help communities develop data management plans, create data stewardship workshops, and document their practices for broader use and learning.
",
"Bali et al., 2019","Bali, K., Choudhury, M., Sitaram, S., & Seshadri, V. (2019, December 1). ELLORA: Enabling Low Resource Languages with Technology. UNESCO International Conference on Language Technologies for all (LT4All). https://www.microsoft.com/en-us/research/publication/ellora-enabling-low-resource-languages-with-technology/",ELLORA: Enabling Low Resource Languages with Technology,Practices less-extractive,Creating culturally inclusive datasets,"Community impacts and relations, Data practices",Problem Understanding & Formulation,Product Conception & Design,Era 3,ADC,A: identifies underserved languages globally; D: develops methods for constrained-resource contexts; C: aims to empower communities via technology access,"White (published journal papers, conference proceedings, books)","Existing networks, relevant organizations and conferences","global, low-resource languages, technology",Multiple areas,Industry,Multiple areas,"Microsoft Research Labs,
Bangalore, India",,"Presents MSR’s initiative to extend language tech to 5,000+ low-resource languages. Outlines methodological approaches under data constraints and positions language equity as infrastructural work. Frames early agenda-setting for empowering communities via access and tailored workflows.",
"Barocas & Nissenbaum, 2014","Barocas, S., & Nissenbaum, H. (2014). Big Data’s End Run around Anonymity and Consent. In J. Lane, B. Stodden S. ,. &. Nissenbaum, H. (2014). Big Data’s End Run around Anonymity and Consent. In J. Lane, V. Stodden, S. Bender, &. H. Nissenbaum (Eds.), Privacy, Big Data, and the Public Good (1st ed., pp. 44–75). Cambridge University Press. https://doi.org/10.1017/CBO9781107590205 ",Big data's end run around anonymity and consent,Extractive,"Collecting vast amounts of data to train AI systems, Soliciting data without reciprocal benefits",Critical theory/Historical background,ML System Design & Development,"Data Selection, Collection & Annotation",Era 2,DC,A: none; D: shows anonymity/consent fail under big-data inference and recombination; C: calls for substantive safeguards beyond procedural consent,"White (published journal papers, conference proceedings, books)",Citation/reference snowballing,global; big data; anonymity; consent; privacy,Not regionally specific,Academic,North America,"Princeton University, New York University, USA","Research support from Intel Science and Technology Center for Social Computing, DHHS Strategic Healthcare Information Technology Advanced Research Projects on Security (SHARPS), NSF Cyber-Trust Collaborative Research (CNS-0831124), and Lady Davis Trust, The Hebrew University of Jerusalem","Argues that the conventional tools used to address privacy concerns—namely, anonymity and informed consent—are inadequate in the face of big data. The authors contend that while achieving true anonymity is often impossible, even when achieved, it fails to address the core ethical dilemmas of big data because individuals become identifiable through comprehensive data profiles and inferences drawn from data mining. Similarly, they assert that informed consent, while theoretically sound, becomes meaningless in the context of big data due to the complexity and unpredictable nature of data flows, rendering genuine user understanding and control impossible. Barocas and Nissenbaum advocate for a shift in focus from procedural safeguards to substantive moral and political principles that address the ethical challenges of big data.",
"Battiste, 2005","Battiste, M. (2005). Indigenous Knowledge: Foundations for First Nations. WINHEC: International Journal of Indigenous Education Scholarship, 1, Article 1. https://journals.uvic.ca/index.php/winhec/article/view/19251",Indigenous Knowledge: Foundations for First Nations,Principles less-extractive,Decentering Western ontologies,"Community impacts and relations, Critical theory/Historical background",Cross-pipeline,Cross-pipeline,Multi-era,C,"A: none; D: none (indirect implications for data stewardship); C: centers Indigenous epistemologies, language, and self-determination","White (published journal papers, conference proceedings, books)",Citation/reference snowballing,North America; Indigenous knowledge; education; sovereignty,North America,Academic,North America,"University of Saskatchewan, Saskatoon, SK Canada",,"Articulates Indigenous knowledge as holistic, dynamic, and systematically marginalized by Eurocentric systems. Calls for curricular and institutional change recognizing language, culture, and sovereignty. Offers a foundation widely drawn upon to reframe technology and data practices toward relational accountability and community control, informing debates over AI data governance impacting First Nations.",
